num,sf,shift,LM,MW,C,N,P,O,cansmi,envlab,mw,P_oxidation_state,P_valence
Lan3-CMP310,C27H35O2P,58.6,CDCl3,422.539361,27,0,1,2,CC(c1cc(cc(c1C1=CC2(CP1(=O)OC2c1ccccc1)C)C(C)C)C(C)C)C,C1C1O1O2,422.5490000000001,5,5.0
Lan3-CMP330,C27H44FO4P,21.53,CDCl3,482.608024200001,27,0,1,4,CC1CCC(C(C1)OP(=O)(C(c1ccccc1F)O)OC1CC(C)CCC1C(C)C)C(C)C,C1O1O1O2,482.6170000000003,5,5.0
Lan3-CMP332,C27H45O4P,22.3,CDCl3,464.617561000001,27,0,1,4,CC1CCC(C(C1)OP(=O)(C(c1ccccc1)O)OC1CC(C)CCC1C(C)C)C(C)C,C1O1O1O2,464.6270000000003,5,5.0
Lan3-CMP333,C27H45O4P,23.71,CDCl3,464.617561000001,27,0,1,4,CC1CCC(C(C1)OP(=O)(C(c1ccccc1)O)OC1CC(C)CCC1C(C)C)C(C)C,C1O1O1O2,464.6270000000003,5,5.0
Lan3-CMP334,C27H45O4P,22.3,CDCl3,464.617561000001,27,0,1,4,CC1CCC(C(C1)OP(=O)([C@@H](c1ccccc1)O)OC1CC(C)CCC1C(C)C)C(C)C,C1O1O1O2,464.6270000000003,5,5.0
Lan3-CMP343,C28H47O5P,21.49,CDCl3,494.643541000001,28,0,1,5,COc1ccccc1[C@H](P(=O)(OC1CC(C)CCC1C(C)C)OC1CC(C)CCC1C(C)C)O,C1O1O1O2,494.6530000000003,5,5.0
Lan3-CMP344,C28H21N2O6P,-17.6,CDCl3,512.449901,28,2,1,6,COc1cccc2-c3nc4ccccc4nc3-c3c(OP(=O)(Oc12)Oc1ccccc1)c(OC)ccc3,O1O1O1O2,512.4580000000003,5,5.0
Lan3-CMP347,C28H23N2O5P,15.83,CDCl3,498.466381,28,2,1,5,Cc1ccc(cc1)C(P(=O)(Oc1ccccc1)Oc1ccccc1)n1c(=O)[nH]c2c(c1=O)cccc2,C1O1O1O2,498.4750000000002,5,5.0
Lan3-CMP348,C28H23O3P,8.42,CDCl3,438.454181,28,0,1,3,O=P(OCC1c2ccccc2-c2c1cccc2)OCC1c2ccccc2-c2c1cccc2,H1O1O1O2,438.4630000000002,5,5.0
Lan3-CMP349,C28H24NO2PS,28.3,CDCl3,469.534421,28,1,1,2,S=C(C(P(=O)(c1ccccc1)c1ccccc1)C(=O)c1ccccc1)NCc1ccccc1,C1C1C1O2,469.5460000000002,5,5.0
